"RESTNUM","RESTMAINIMG","RESTIMG","RESTNAME","RESTMENU","RESTPRICE","RESTKEYWORD","RESTTIME1","RESTTIME2","RESTADRESS","RESTTEL","RESTTAG","RESTSTARSUM","RESTTASTESUM","RESTPRICESUM","RESTSERVICESUM","RESTLIKE"
1,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210720092027_photo1_23485fd79bf1.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210720092027_photo1_23485fd79bf1.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210720092027_photo2_23485fd79bf1.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210704111202_photo1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210704111202_photo2_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210704111203_menu1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210605105118_photo2_c902fdf240f1.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210605105118_photo1_c902fdf240f1.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210518121028_photo1_f8ea9ea47a89.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210518121028_photo1_f8ea9ea47a89.jpg,","미분당 신촌점","차돌박이 쌀국수/양지 쌀국수/차돌 양지 쌀국수/차돌,양지,힘줄 쌀국수/힘줄 쌀국수/고구마짜조/가리비짜조/버팔로윙/감자말이새우/웨딩쇼마이/모듬전식/콜라/사이다/해산물쌀국수/매운해산물쌀국수/","8,000원/8,500원/9,500원/10,000원/10,000원/2,500원/2,500원/2,500원/2,500원/2,500원/8,000원/2,500원/9,500원/10,000원/","조용한, 점심식사, 저녁식사, 현장대기필요","매일","오전 11시 - 오후 9시","서울특별시 서대문구 창천동 72-23","02-3141-0807","2019대표맛집, 혼밥",0,0,0,0,0
2,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210708045811_photo1_6010310fd5ba.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210708045811_photo1_6010310fd5ba.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210708045811_photo2_6010310fd5ba.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210528142933_photo0_zb0GnlpHGK11.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328123712251_photo_c54bf6dd9936.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328123712495_photo_c54bf6dd9936.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210328123729958_menu_c54bf6dd9936.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210313015746_photo1_7f26b5cf4b00.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210313015746_photo2_7f26b5cf4b00.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210313015746_photo2_7f26b5cf4b00.jpg,","라구식당","라구파스타/라자냐/볼 샐러드/와인/음료/","13,000원/14,000원/3,000원//2,000원/","깔끔한, 점심식사, 저녁식사","매일","오전 11시 30분 - 오후 10시 (3~4시 브레이크타임)","서울특별시 서대문구 창천동 2-42","02-364-2224","데이트",0,0,0,0,0
3,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210714063017_photo1_067eb40b34af.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210714063017_photo1_067eb40b34af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210714063017_photo2_067eb40b34af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210612102417_photo2_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210612102417_photo1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210612102420_menu1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210530034110_photo1_mm1F5kOrpCVI.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210530034110_photo2_mm1F5kOrpCVI.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210530034112_menu3_mm1F5kOrpCVI.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210530034112_menu3_mm1F5kOrpCVI.jpg,","소신이쏘","매운소갈비찜 1인분/크림소갈비찜 1인분/평일점심 매운소갈비찜/","14,000원/14,500원/8,500원/","캐주얼한, 점심식사, 저녁식사, 제로페이","매일","정오 12시 - 오후 10시 (마지막주문21시/브레이크타임 15~17시)","서울특별시 서대문구 창천동 57-39","02-324-3245","다코숨은맛집, 데이트",0,0,0,0,0
4,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210823123332040_photo_0f3d02d36ca5.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210823123332040_photo_0f3d02d36ca5.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602114005_photo2_b206f6c126af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602114005_photo1_b206f6c126af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602114005_photo3_b206f6c126af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602114009_menu1_b206f6c126af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210526125626_photo1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210526125626_photo2_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210526125628_menu1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210526125628_menu1_cd5864e0cc68.jpg,","담산 신촌본점","양푼등갈비찜/가마솥 곤드레밥/메밀전/","12,000원/5,000원/1,000원/","서민적인, 점심식사, 저녁식사, 배달","화,수,목,금,토/일","오전 11시 - 오후 10시","서울특별시 서대문구 창천동 72-31","02-6404-8469","식사모임",0,0,0,0,0
5,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210201100744_photo1_2be0efcb435d.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210201100744_photo1_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo6_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo7_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo8_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo4_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo5_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo3_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo2_2be0efcb435d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210201100744_photo2_2be0efcb435d.jpg,","기꾸스시","기꾸초밥/모듬초밥/연어초밥/","9,000원/13,000원/15,000원/","가성비좋은, 점심식사, 저녁식사, 현장대기필요","매일","오전 11시 30분 - 오후 10시 (연중무휴(명절제외), 브레이크타임 3시~5)","서울특별시 서대문구 창천동 72-23","02-324-5356","데이트",0,0,0,0,0
6,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210927124912_photo1_01ea4aa1d7d8.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210927124912_photo1_01ea4aa1d7d8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210927124912_photo2_01ea4aa1d7d8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210927124915_menu1_01ea4aa1d7d8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210611044604_photo1_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210611044604_photo2_cd5864e0cc68.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210415125218127_photo_a6b111a8b16b.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210415125218559_photo_a6b111a8b16b.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210124072205_photo1_24500fd241ab.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210124072205_photo1_24500fd241ab.jpg,","부탄츄 신촌점","토코 톤코츠 라멘/토코 시오 톤코츠 라멘/쇼유 톤코츠 라멘/시오 톤코츠 라멘/","7,900원/7,900원/7,900원/7,900원/","캐주얼한, 점심식사, 저녁식사, 현장대기필요","매일","오전 11시 30분 - 오후 10시 30분 (22:00 주문마감)","서울특별시 서대문구 창천동 62-10","02-3144-6604","혼밥",0,0,0,0,0
21,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210823125328_photo1_7a9b0701c533.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210823125328_photo1_7a9b0701c533.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210823125328_photo3_7a9b0701c533.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210823125328_photo2_7a9b0701c533.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210718123215276_photo_ef6043178e50.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210718123215591_photo_ef6043178e50.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210712155055_photo1_1186208615c6.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210712155055_photo2_1186208615c6.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210611094202_photo1_c6208bdda351.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210611094202_photo1_c6208bdda351.jpg,","또보겠지떡볶이","즉석 떡볶이 2인/즉석 떡볶이 3인/즉석 떡볶이 4인/치즈떡 8개/고구마 6개/","13,000원/18,000원/23,000원/2,000원/2,000원/","서민적인, 점심식사, 저녁식사","화,수,목,금,토/일","오전 11시 30분 - 오후 9시 (Last order 20:00 / 전화예약은 어렵습니다)","서울특별시 마포구 동교동 153-3","","데이트",0,0,0,0,0
22,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210829112337_photo1_312eead77f96.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210829112337_photo1_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210829112337_photo2_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210829112339_menu1_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210829112339_menu2_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210829112339_menu3_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210829112339_menu4_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210829112339_menu5_312eead77f96.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210803094523_photo1_daeedc524dbb.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210803094523_photo1_daeedc524dbb.jpg,","프리모 바치오바치 홍대본점","빠네 파스타/고르곤졸라 피/할라피뇨 폴로/카프리제/벤 꼬또 아르셀레/비스떼까/아보카도 감베로니/주빠 디 빼세/크레마 디 빠따따/꼬제/베지타리아노 샐러드/삐꼴로 뽈로 샐러드/만조 샐러드/프리티 감베로니 샐러드/인살라따 미스토 디 마레 샐러드/시저 샐러드/바치오 포르마쥐 샐러드/풍기 알라 바치오 샐러드/마리나라 리조또/뽈로 그라탕/케이준 감베로니 리조또/감베로니 리조또/크레마 마리나라 리조또/삐깐떼 감베로니 피/네베 피자/세이 포르마쥐 피자/델리까사 피자/빠따따 피자/시저 피자/올리브 아르셀레 파스타/올리브 봉골레 파스/프루티 디마레 파스타/바질 페스토 감베로니 파스타/뚜또 베네 파스타/알리오 올리오 파스타/폴로 파미지아나 파스타/모짜렐라 파스타/프레스카 봉골레 파스타/케이준 폴로 파스타/만조 파스타/뻬스카토레 파스타/알포노 만조 파스타/펜네 아라비아타 파스타/라구 알라 볼로네제 파스타/라자냐/아로고스타 파스타/까르보나라 파스타/크레마 덴티체 파스타/뽀모도로 감베로니 파스타/뼤뻬 뽈로 파스타/네로 파스타/크레마 포르마쥐 파스타/그랑끼오 파스타/빠따따 소테리타 파스타/크림 뻬스카토레 파스타/","14,000원/16,000원/10,000원/10,500원/13,000원/13,000원/13,000원/10,000원/6,000원/8,000원/10,000원/11,000원/10,500원/13,000원/10,000원/12,000원/10,000원/13,000원/11,500원/13,000원/13,000원/14,000원/15,000원/13,000원/15,000원/12,000원/12,000원/15,000원/13,000원/16,000원/15,000원/13,000원/12,000원/11,500원/13,000원/12,500원/17,000원/17,000원/19,000원/12,500원/11,500원/12,000원/15,500원/12,000원/16,000원/14,000원/11,500원/15,000원/14,000원/17,000원/","깔끔한, 점심식사, 저녁식사","매일","오전 11시 - 오후 11시 (Last order 22:00 / 명절당일휴무)","서울특별시 마포구 서교동 346-47 2층","02-323-0098","데이트",0,0,0,0,0
7,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210407061141_photo1_a1883a8c506d.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210407061141_photo1_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061141_photo2_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061141_photo3_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061141_photo4_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061141_photo5_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061142_menu1_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061142_menu2_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061142_menu3_a1883a8c506d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210407061142_menu3_a1883a8c506d.jpg,","야바이","오코노미야키/몬자야키/야끼소바/기린소바세트/기린몬자세트/클라우드오코세트/클라우드소바세트/하이볼세트/","9000~12500/11000~14000/10000~12000/34,500원/35,000원/323,000원/33,000원/34,500원/","캐주얼한, 저녁식사","매일","오후 4시 - 자정 12시 (연중무휴)","서울특별시 서대문구 창천동 53-20","070-8875-1024","맛있는녀석들, 술모임",0,0,0,0,0
8,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210927054256_photo1_bacb137279d4.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210927054256_photo1_bacb137279d4.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210927054256_photo2_bacb137279d4.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210927054259_menu1_bacb137279d4.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210924084904338_photo_daeedc524dbb.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210924084904122_photo_daeedc524dbb.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210714013340_photo02_e48f8d3a5fac.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210714013341_photo01_e48f8d3a5fac.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602072513_photo1_5d4fba87d2df.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602072513_photo1_5d4fba87d2df.jpg,","파이홀","에스프레소/아메리카노/카페라떼/얼그레이가나슈/오레오말차 가나슈/","3,000원/3,500원/4,500원/6,000원/6,000원/","캐주얼한, 점심식사, 애완동물동반","매일","오전 11시 - 오후 11시","서울특별시 서대문구 창천동 57-61","02-334-1181","데이트",0,0,0,0,0
9,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210626091353877_photo_57d1b24a423a.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210626091353877_photo_57d1b24a423a.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210626091354507_photo_57d1b24a423a.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210626091414433_menu_57d1b24a423a.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210621173438_photo0_Q2aMjuw2lv7M.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210619033604_photo2_YzkFlgMSzpiz.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210619033604_photo3_YzkFlgMSzpiz.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210601082558_photo1_b206f6c126af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210601082558_photo2_b206f6c126af.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210601082558_photo2_b206f6c126af.jpg,","고삼이","고등어 구이/김치찌개/오징어볶음/삼치구이/","9,500원/6,500원/9,500원/11,000원/","서민적인, 점심식사, 저녁식사","매일","오전 10시 30분 - 오후 9시 (휴무없음(명절제외))","서울특별시 서대문구 창천동 53-8","02-324-1403","혼밥",0,0,0,0,0
10,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210708074611_photo1_b67390846121.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210708074611_photo1_b67390846121.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210708074611_photo2_b67390846121.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210523084929_photo1_nfwAsCeu1MZx.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210316080843815_photo_40db864afe4c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210316080844468_photo_40db864afe4c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201219020744_photo1_0UoOZNlTenDO.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201219020744_photo2_0UoOZNlTenDO.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201219020744_photo3_0UoOZNlTenDO.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201219020744_photo3_0UoOZNlTenDO.jpg,","호밀밭","밀크빙수/녹차빙수/커피빙수/과일빙수/수박빙수/딸기빙수/","6,900원/7,500원/7,500원/9,500원/9,500원/9,500원/","캐주얼한","매일","정오 12시 - 오후 10시","서울특별시 서대문구 창천동 4-77","02-392-5345","간식",0,0,0,0,0
11,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210930084228192_photo_57b99eb39b6d.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210930084228192_photo_57b99eb39b6d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210930084228522_photo_57b99eb39b6d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014700_photo1_198a465bbf85.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014700_photo2_198a465bbf85.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014700_photo3_198a465bbf85.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014701_menu4_198a465bbf85.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014701_menu1_198a465bbf85.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014701_menu2_198a465bbf85.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20201122014701_menu2_198a465bbf85.jpg,","미스터서왕만두 이대점","소룡포/찐만두/군만두/새우만두/해물탕/","5,000원/5,000원/6,000원/7,000원/7,000원/","서민적인, 점심식사, 저녁식사, 지역화폐, 주차","화요일","오전 11시 - 오후 9시 (Beak Time: 3pm-4pm)","서울특별시 서대문구 대현동 27-20","02-312-8869","혼밥",0,0,0,0,0
12,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210820012559654_photo_6e9b52c38fc8.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210820012559654_photo_6e9b52c38fc8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210820012600473_photo_6e9b52c38fc8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210820012601949_photo_6e9b52c38fc8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210820012620375_menu_6e9b52c38fc8.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210806024458743_photo_ef34654d852f.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210806024459263_photo_ef34654d852f.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210806024459017_photo_ef34654d852f.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210810073149614_photo_ef34654d852f.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210810073149614_photo_ef34654d852f.jpg,","마더린러 베이글","전국택배(더즌베이글/12개)/치킨타임 or 이탈리안클럽/포트워싱턴 or 필리치즈 스테이크 샌드위치/훈제연어 샌드위치(NOVA)/베이글클럽/(베이컨 or 햄)에그 & 치즈/낫소베이글 or BLT/그릴치즈멜트/에그(치킨) 샐러드 샌드위치/크림치즈 (용기 별도판매)/샌드위치 메뉴/세트메뉴/","25,000원/6,800원/6,800원/7,400원/6,800원/6,800원/6,800원/6,800원/6,400원/2800~3400/5900~7400/7700~9200/","캐주얼한, 아침식사, 점심식사, 저녁식사, 배달","월-금","오전 8시 30분 - 자정 12시 (베이글 소진 시 마감/전국택배(전화주문 또는 네이버 쇼핑 : https://smartstore.naver.com/motherinlawbagel/products/5229393038))","서울특별시 서대문구 대현동 56-23","070-7758-3030","생활의달인, 간식",0,0,0,0,0
13,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210712021935_photo02_e48f8d3a5fac.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210712021935_photo02_e48f8d3a5fac.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210712162414_photo1_EOrBqcebkmd4.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210618044422184_photo_f5406cf8ac29.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210618044422386_photo_f5406cf8ac29.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210618044422557_photo_f5406cf8ac29.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210618044422838_photo_f5406cf8ac29.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602072825832_photo_57b99eb39b6d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602072826653_photo_57b99eb39b6d.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210602072826653_photo_57b99eb39b6d.jpg,","란주탕슉","사천꿔바로우 R/사천해물짜장도삭면/","20,000원/7,000원/","시끌벅적한, 점심식사, 저녁식사, 현장대기필요, 배달","매일","정오 12시 - 오후 8시 30분 ((점심 라스트오더 2시50분) / (저녁 라스트오더 8시30분))","서울특별시 서대문구 대현동 53-20","070-4250-9370","데이트",0,0,0,0,0
14,"https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200215091521378_photo_e5c80337788c.jpg","https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200215091521378_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091521538_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091521567_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091521596_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091521799_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091522003_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091522205_photo_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091604628_menu_e5c80337788c.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200215091604628_menu_e5c80337788c.jpg,","와플잇업","오리지날 벨기에 와플/젤라또 와플/후르츠 젤라또 와플/오레오 밀크 쉐이크/아메리카노/에스프레소/카페라떼/카푸치노/","2,200원/7,300원/14,000원/6,200원/4,000원/4,000원/4,900원/4,900원/","예쁜, 점심식사, 야외좌석(테라스)","매일","정오 12시 - 오후 10시 (라스트 오더 21시)","서울특별시 서대문구 대현동 27-17","070-4410-2829","데이트",0,0,0,0,0
